DisputeStage,DisputeStatus,DisputeId,DueDate,DisputeTime,CardScheme,CardType,ReasonCode,ReasonCategory,ReasonMsg,ChargebackTxnAmount,MerchantUserId,TransactionChannel,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,RefundPayType,WinRate,ARN,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier
PRE_ARB,NEED_RESPONSE,881620934824,2026-11-07 00:00:00,2026-10-08 11:12:04,Mastercard,Prepaid,4831,Processing Error,Transaction Amount Differs,225.04,7665434528917652509,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-22T21:14:42Z,108.73,IDR,<UNSET>,0.0061,36607442532075009846472,588411XXXXXX0290,588411,Prepaid,Klarna Bank AB,US,4831,2026-10-08,CBK-2026-200120,2026-11-07 00:00:00,Yes,Adyen,Adyen N.V.,MID678470690,TXN-20260822-61209182,STR098907862889,049005,BNPL,225.04,IDR,Captured,2026-08-23,Y - Full Match,P - Not Processed,Y - Authenticated,Yes,45.241.236.213,Desktop Web,No,0,,ORD-202608-100720,2026-08-22 20:28:14,Robot Vacuum Cleaner,Home & Kitchen,HNK-6790-BLU,2,112.52,225.04,IDR,Completed,Delivered,UPS,BD3035341961,2026-08-25,2026-09-01,2026-09-01,Yes - OTP Confirmed,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,Yes,7665434528917652509,James Putri,james.putri@gmail.com,1308483701,2024-01-04,Yes,Active,54,15619.34,289.25,ORD-202603-707855,2026-03-31,1,1,1.85,Medium
PRE_ARB,NEED_RESPONSE,vjioifw61zryxswv,2026-11-08 00:00:00,2026-10-09 16:33:51,Mastercard,Prepaid,4837,Fraud,No Cardholder Authorization,40.19,7665434528917652510,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-06-22T00:32:53Z,33.39,IDR,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0047,8843340791801898955348,566986XXXXXX8611,566986,Prepaid,Citibank,NG,4837,2026-10-09,CBK-2026-200121,2026-11-08 00:00:00,No,Worldpay,Worldpay Inc.,MID092370758,TXN-20260622-81170838,CKO320167206040,025248,Card - Ecom,40.19,IDR,Captured,2026-06-23,Z - Zip Only,P - Not Processed,Y - Authenticated,Yes,86.212.29.182,Android App,Yes,40.19,2026-10-15,ORD-202606-100721,2026-06-21 23:06:53,Cotton Casual Shirt,Apparel,APP-9111-NVY,1,40.19,40.19,IDR,Under Investigation,In Transit,UPS,FX9965828857,2026-06-21,2026-06-27,,No,N/A,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652510,Olivia Garcia,olivia.garcia@mail.com,62793205868,2025-08-05,No,Suspended,50,8171.98,163.44,ORD-202511-663302,2025-11-19,0,0,0,Low
CB,NEED_RESPONSE,382061573965,2026-11-09 00:00:00,2026-10-10 07:58:19,Discover,Prepaid,UA02,Fraud,Fraud – Card Not Present Transaction,225.05,7665434528917652511,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-06-22T01:23:32Z,144.59,IDR,OriginalRefund,0.011,24944164664845467261667,601180XXXXXX5367,601180,Prepaid,Bank Mandiri,NG,UA02,2026-10-10,CBK-2026-200122,2026-11-09 00:00:00,Yes,Cybersource,Chase Paymentech,MID923489384,TXN-20260622-86818344,BRT445284814037,870037,Card - Recurring,225.05,IDR,Captured,2026-06-25,A - Address Only,P - Not Processed,A - Attempted,No,54.175.231.10,Android App,Yes,225.05,2026-10-17,ORD-202606-100722,2026-06-21 23:58:35,Premium Software Licence (1 yr),Digital Goods,DIG-1074-WHT,1,225.05,225.05,IDR,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-06-21,2026-06-21,2026-06-21,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),NG,N/A,7665434528917652511,Nadia Nwosu,nadia.nwosu@yahoo.com,234897084127,2023-09-08,Yes,Active,57,5353.28,93.92,ORD-202512-511811,2025-12-03,3,3,5.26,High
CB,NEED_RESPONSE,610934827537,2026-11-10 00:00:00,2026-10-11 22:05:46,Amex,Credit,A02,Authorization,No Valid Authorization,532.14,7665434528917652512,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-19T03:15:47Z,162.31,IDR,"OriginalRefund, RefundToCredit",0.0107,1936338523849076779267,371326XXXXX1760,371326,Credit,DBS Bank,ID,A02,2026-10-11,CBK-2026-200123,2026-11-10 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID034422395,TXN-20260919-35368302,BRT339887327332,921291,Card - Ecom,532.14,IDR,Settled,2026-09-20,Z - Zip Only,N - No Match,Y - Authenticated,Yes,224.161.48.65,Android App,Yes,532.14,2026-10-18,ORD-202609-100723,2026-09-19 02:49:05,Wireless Noise-Cancelling Headphones,Electronics,ELC-1210-GRY,3,177.38,532.14,IDR,Completed,Delivered,FedEx,BD4317754053,2026-09-20,2026-09-29,2026-09-29,Yes - Photo,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652512,Wei Nwosu,wei.nwosu@yahoo.com,234469577178,2026-05-29,No,Active,15,4101.19,273.41,ORD-202606-651844,2026-06-06,1,1,6.67,Medium
PRE_ARB,NEED_RESPONSE,wwfyyfakwsj1y42s,2026-11-11 00:00:00,2026-10-12 09:41:37,Amex,Debit,C04,Consumer Dispute,Goods/Services Returned or Refused,8.97,7665434528917652513,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-17T02:40:01Z,8.97,USD,RefundToCredit,0.0037,4498883527189299493410,346554XXXXX5547,346554,Debit,Guaranty Trust Bank,NG,C04,2026-10-12,CBK-2026-200124,2026-11-11 00:00:00,No,Worldpay,Worldpay Inc.,MID030429638,TXN-20260817-37910938,STR160798118380,332493,Card - Recurring,8.97,USD,Settled,2026-08-18,Y - Full Match,M - Match,A - Attempted,No,119.112.67.180,Mobile Web,Yes,8.97,2026-10-14,ORD-202608-100724,2026-08-17 02:33:33,Vitamin C Serum,Beauty,BTY-7196-WHT,1,8.97,8.97,USD,Completed,Delivered,GIG Logistics,DH9632807831,2026-08-17,2026-08-21,2026-08-21,Yes - Photo,N/A,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652513,Adaeze Chen,adaeze.chen@mail.com,62085174868,2024-01-31,No,Under Review,15,2321.61,154.77,ORD-202607-763598,2026-07-14,3,0,20,High
CB,NEED_RESPONSE,382061573966,2026-11-12 00:00:00,2026-10-13 20:46:22,Amex,Debit,F29,Fraud,Card Not Present,289.3,7665434528917652514,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-07-20T05:22:39Z,289.3,IDR,"RefundToCredit, OriginalRefund",0.0041,261247717516072348687,379739XXXXX9736,379739,Debit,Bank Mandiri,NG,F29,2026-10-13,CBK-2026-200125,2026-11-12 00:00:00,Yes,Cybersource,Chase Paymentech,MID602417242,TXN-20260720-86254508,BRT543837952761,289487,Card - Recurring,289.3,IDR,Captured,2026-07-23,A - Address Only,M - Match,Y - Authenticated,Yes,214.31.246.212,Mobile Web,Yes,289.3,2026-10-18,ORD-202607-100725,2026-07-20 05:11:33,Running Shoes,Footwear,FTW-3695-GRN,2,144.65,289.3,IDR,Completed,Delivered,UPS,UP7350888757,2026-07-22,2026-07-31,2026-08-02,Yes - Signature,Chinedu Miller,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652514,Emily Nakamura,emily.nakamura@mail.com,1258610534,2024-10-08,Yes,Suspended,56,13186.14,235.47,ORD-202601-650066,2026-01-24,0,0,0,Low
PRE_ARB,NEED_RESPONSE,382061573967,2026-11-13 00:00:00,2026-10-14 20:46:25,Mastercard,Debit,4837,Fraud,No Cardholder Authorization,215.66,7665434528917652515,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-17T20:13:39Z,215.66,NGN,OriginalRefund,0.0108,49279586470215649190120,563551XXXXXX3252,563551,Debit,Capital One,SG,4837,2026-10-14,CBK-2026-200126,2026-11-13 00:00:00,No,Cybersource,Chase Paymentech,MID353171994,TXN-20260817-76711259,ADY116978341989,425354,Card - Ecom,215.66,NGN,Captured,2026-08-19,Y - Full Match,P - Not Processed,N - Not Authenticated,No,14.138.130.155,Android App,Yes,215.66,2026-10-15,ORD-202608-100726,2026-08-17 19:30:13,Mechanical Keyboard,Electronics,ELC-4567-NVY,2,107.83,215.66,NGN,Completed,Delivered,UPS,DH1309059407,2026-08-18,2026-08-26,2026-08-26,Yes - Signature,Amara Miller,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652515,Amara Adeyemi,amara.adeyemi@mail.com,62883567129,2023-07-02,Yes,Active,28,8763.01,312.96,ORD-202605-592904,2026-05-11,3,0,10.71,High
CB,NEED_RESPONSE,382061573968,2026-11-14 00:00:00,2026-10-15 20:46:28,Mastercard,Prepaid,4855,Consumer Dispute,Goods or Services Not Provided,302.28,7665434528917652516,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-17T06:10:33Z,302.28,NGN,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0019,21335836489907146737567,529294XXXXXX6201,529294,Prepaid,Citibank,US,4855,2026-10-15,CBK-2026-200127,2026-11-14 00:00:00,No,Cybersource,Chase Paymentech,MID146008137,TXN-20260917-85678627,CKO596910723694,319308,Card - Ecom,302.28,NGN,Settled,2026-09-19,A - Address Only,N - No Match,A - Attempted,No,165.130.239.132,Mobile Web,Yes,302.28,2026-10-16,ORD-202609-100727,2026-09-17 05:26:16,Robot Vacuum Cleaner,Home & Kitchen,HNK-1925-BLK,1,302.28,302.28,NGN,Completed,Delivered,UPS,DH7144868617,2026-09-20,2026-09-28,2026-09-29,Yes - Signature,Wei Miller,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652516,Amara Williams,amara.williams@mail.com,234598658401,2023-02-10,Yes,Active,27,8301.91,307.48,ORD-202606-727866,2026-06-28,0,0,0,Low
CB,NEED_RESPONSE,0wfs0h7s4hk7hdiv,2026-11-15 00:00:00,2026-10-16 11:12:04,VISA,Debit,10.3,Fraud,Other Fraud - Card Present Environment,164.74,7665434528917652517,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-06-28T06:05:45Z,98.87,USD,OriginalRefund,0.0098,58989431198400134134193,450288XXXXXX5237,450288,Debit,Access Bank,ID,10.3,2026-10-16,CBK-2026-200128,2026-11-15 00:00:00,Yes,Nuvei,Nuvei Corporation,MID588748523,TXN-20260628-80526618,ADY709669924969,013569,Card - Ecom,164.74,USD,Captured,2026-06-29,Z - Zip Only,M - Match,N - Not Authenticated,No,240.187.63.24,Mobile Web,No,0,,ORD-202606-100728,2026-06-28 05:09:58,Ergonomic Office Chair,Furniture,FUR-3050-GRN,2,82.37,164.74,USD,Completed,Delivered,J&T Express,BD4451773917,2026-06-30,2026-07-09,2026-07-11,Yes - Photo,N/A,Jl. Gatot Subroto Kav 21,Jakarta,DKI Jakarta,12930,ID,Yes,7665434528917652517,Rahul Okafor,rahul.okafor@outlook.com,62452918086,2024-05-25,Yes,Active,49,15638.12,319.15,ORD-202601-716100,2026-01-27,3,1,6.12,High
CLAIM,NEED_RESPONSE,mcqvil7t02szhojb,2026-11-16 00:00:00,2026-10-17 16:33:51,Discover,Credit,RM,Consumer Dispute,Cardholder Disputes Quality of Goods or Services,364.2,7665434528917652518,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-01T23:01:17Z,364.2,USD,"RefundToCredit, OriginalRefund",0.0086,80553227412642816905447,601111XXXXXX4076,601111,Credit,DBS Bank,ID,RM,2026-10-17,CBK-2026-200129,2026-11-16 00:00:00,No,Braintree,PayPal Braintree,MID152155152,TXN-20260801-67507012,BRT431166793058,746381,Card - Ecom,364.2,USD,Captured,2026-08-02,Y - Full Match,P - Not Processed,Y - Authenticated,Yes,246.35.85.211,Mobile Web,Yes,364.2,2026-10-21,ORD-202608-100729,2026-08-01 22:47:41,Running Shoes,Footwear,FTW-5239-NVY,3,121.4,364.2,USD,Completed,Delivered,GIG Logistics,DH8965650676,2026-08-01,2026-08-09,2026-08-09,Yes - Signature,Priya Garcia,"7 Aminu Kano Crescent, Wuse II",Abuja,FCT,900288,NG,Yes,7665434528917652518,Daniel Brown,daniel.brown@yahoo.com,234640041883,2026-05-17,Yes,Under Review,50,7503.46,150.07,ORD-202605-778506,2026-05-18,3,1,6,High
PRE_ARB,NEED_RESPONSE,382061573969,2026-11-17 00:00:00,2026-10-18 07:58:19,Mastercard,Debit,4831,Processing Error,Transaction Amount Differs,62.89,7665434528917652519,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-09-15T20:24:45Z,33.24,NGN,"OriginalRefund, RefundToCredit",0.0101,7157787576021435793339,571306XXXXXX0074,571306,Debit,Bank Mandiri,NG,4831,2026-10-18,CBK-2026-200130,2026-11-17 00:00:00,No,Cybersource,Chase Paymentech,MID394572676,TXN-20260915-81992591,STR440958198572,623285,Card - Recurring,62.89,NGN,Settled,2026-09-17,A - Address Only,M - Match,Y - Authenticated,Yes,98.224.75.34,Mobile Web,Yes,62.89,2026-10-22,ORD-202609-100730,2026-09-15 19:13:06,Winter Jacket,Apparel,APP-7176-BLK,1,62.89,62.89,NGN,Completed,Delivered,UPS,DH8623098219,2026-09-15,2026-09-16,2026-09-16,Yes - Photo,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,No,7665434528917652519,Emily Patel,emily.patel@yahoo.com,1852322679,2023-05-10,Yes,Active,36,8852.25,245.9,ORD-202606-789947,2026-06-15,0,0,0,Low
CB,NEED_RESPONSE,610934827538,2026-11-18 00:00:00,2026-10-19 22:05:46,VISA,Debit,10.4,Fraud,Other Fraud - Card Absent Environment,135.7,7665434528917652520,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-28T01:39:34Z,135.7,NGN,RefundToCredit,0.0044,14320183897735331353440,400082XXXXXX8356,400082,Debit,DBS Bank,US,10.4,2026-10-19,CBK-2026-200131,2026-11-18 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID430292147,TXN-20260928-42868299,CKO461059132329,421011,Card - Ecom,135.7,NGN,Captured,2026-09-30,Y - Full Match,M - Match,Y - Authenticated,Yes,135.216.5.216,Mobile Web,No,0,,ORD-202609-100731,2026-09-28 01:10:16,Running Shoes,Footwear,FTW-6129-BLU,1,135.7,135.7,NGN,Completed,Delivered,FedEx,UP1269398174,2026-10-01,2026-10-10,2026-10-09,Yes - Signature,Nadia Brown,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652520,Adaeze Ibrahim,adaeze.ibrahim@mail.com,62510556531,2024-02-28,Yes,Active,4,854.54,213.63,ORD-202602-780542,2026-02-24,3,1,75,High
CB,NEED_RESPONSE,881620934825,2026-11-19 00:00:00,2026-10-20 09:41:37,Discover,Prepaid,UA02,Fraud,Fraud – Card Not Present Transaction,411.33,7665434528917652521,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-10-07T05:35:48Z,230.48,USD,OriginalRefund,0.006,46884720650021029532416,601183XXXXXX1714,601183,Prepaid,Barclays,NG,UA02,2026-10-20,CBK-2026-200132,2026-11-19 00:00:00,No,Adyen,Adyen N.V.,MID747914594,TXN-20261007-35683337,CKO673774074364,052231,Card - Recurring,411.33,USD,Captured,2026-10-08,N - No Match,M - Match,A - Attempted,No,236.212.14.103,Android App,No,0,,ORD-202610-100732,2026-10-07 04:56:24,Wireless Noise-Cancelling Headphones,Electronics,ELC-6941-BLK,3,137.11,411.33,USD,Completed,Delivered,FedEx,FX1723093021,2026-10-09,2026-10-11,2026-10-11,Yes - Signature,Budi Garcia,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652521,Nadia Chen,nadia.chen@mail.com,234297606407,2025-10-09,Yes,Suspended,26,7356.5,282.94,ORD-202606-550005,2026-06-17,1,0,3.85,Medium
PRE_ARB,NEED_RESPONSE,PP-D-123456785,2026-11-20 00:00:00,2026-10-21 20:46:22,VISA,Credit,12.5,Processing Error,Incorrect Transaction Amount,167.58,7665434528917652522,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-10-07T03:09:24Z,167.58,NGN,"OriginalRefund, RefundToCredit",0.0018,60706566870538813460465,499663XXXXXX0654,499663,Credit,Chase Bank,ID,12.5,2026-10-21,CBK-2026-200133,2026-11-20 00:00:00,Yes,Braintree,PayPal Braintree,MID990833478,TXN-20261007-91463903,ADY620464016256,244805,Card - Wallet Token,167.58,NGN,Settled,2026-10-08,A - Address Only,P - Not Processed,Y - Authenticated,Yes,55.191.226.40,Desktop Web,Yes,167.58,2026-10-25,ORD-202610-100733,2026-10-07 03:00:45,Electric Toothbrush,Beauty,BTY-7561-GRN,3,55.86,167.58,NGN,Completed,Delivered,UPS,FX4332940641,2026-10-09,2026-10-17,2026-10-17,Yes - Photo,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652522,Emily Sharma,emily.sharma@yahoo.com,1477592837,2022-10-15,Yes,Active,5,1432.95,286.59,ORD-202607-718151,2026-07-09,2,2,40,High
PRE_ARB,NEED_RESPONSE,4001928384,2026-11-21 00:00:00,2026-10-22 20:46:25,VISA,Prepaid,13.1,Consumer Dispute,Services Not Provided or Merchandise Not Received,44.17,7665434528917652523,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-02T09:52:47Z,44.17,USD,<UNSET>,0.0082,4801504154127807449438,480313XXXXXX6109,480313,Prepaid,Access Bank,NG,13.1,2026-10-22,CBK-2026-200134,2026-11-21 00:00:00,Yes,Stripe,Wells Fargo Bank N.A.,MID470638953,TXN-20260802-71376409,STR331984535109,369099,Card - Ecom,44.17,USD,Captured,2026-08-05,A - Address Only,M - Match,Y - Authenticated,Yes,10.92.198.33,Desktop Web,Yes,44.17,2026-10-28,ORD-202608-100734,2026-08-02 08:29:01,Yoga Mat Pro,Sports,SPT-1558-WHT,1,44.17,44.17,USD,Completed,Delivered,UPS,BD3645208524,2026-08-03,2026-08-03,2026-08-03,Yes - Signature,Budi Kumar,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652523,Arjun Chen,arjun.chen@outlook.com,234885885319,2025-12-09,Yes,Suspended,2,217.74,108.87,ORD-202607-604297,2026-07-25,1,0,50,Medium
CB,NEED_RESPONSE,PP-D-123456786,2026-11-22 00:00:00,2026-10-23 20:46:28,Mastercard,Credit,4860,Consumer Dispute,Credit Not Processed,198.62,7665434528917652524,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-07-05T15:59:54Z,198.62,NGN,<UNSET>,0.0044,09065215139975339799898,519516XXXXXX2178,519516,Credit,Citibank,ID,4860,2026-10-23,CBK-2026-200135,2026-11-22 00:00:00,No,Braintree,PayPal Braintree,MID856114817,TXN-20260705-73921433,WLP521401269165,128213,Card - Ecom,198.62,NGN,Captured,2026-07-07,A - Address Only,M - Match,Y - Authenticated,Yes,85.173.51.166,Android App,Yes,198.62,2026-10-27,ORD-202607-100735,2026-07-05 15:44:12,Standing Desk Converter,Furniture,FUR-7098-WHT,2,99.31,198.62,NGN,Completed,Delivered,UPS,BD3759095780,2026-07-08,2026-07-13,2026-07-13,Yes - Signature,Rahul Brown,Jl. Asia Afrika No. 8,Bandung,West Java,40111,ID,Yes,7665434528917652524,Meera Adeyemi,meera.adeyemi@gmail.com,62002303030,2022-11-20,Yes,Suspended,45,9278.32,206.18,ORD-202511-728804,2025-11-24,0,0,0,Low
PRE_ARB,NEED_RESPONSE,881620934826,2026-11-23 00:00:00,2026-10-24 11:12:04,VISA,Prepaid,12.5,Processing Error,Incorrect Transaction Amount,371.3,7665434528917652525,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-09-13T22:19:34Z,371.3,IDR,"RefundToCredit, OriginalRefund",0.0095,305823737350883638189,438135XXXXXX2094,438135,Prepaid,Capital One,NG,12.5,2026-10-24,CBK-2026-200136,2026-11-23 00:00:00,No,Adyen,Adyen N.V.,MID249467601,TXN-20260913-27209154,WLP309624448626,460309,Card - Recurring,371.3,IDR,Settled,2026-09-15,N - No Match,M - Match,Y - Authenticated,Yes,139.14.155.41,Desktop Web,Yes,371.3,2026-10-26,ORD-202609-100736,2026-09-13 21:14:34,Leather Sneakers,Footwear,FTW-3437-GRN,2,185.65,371.3,IDR,Completed,Delivered,DPD,BD1149011410,2026-09-14,2026-09-19,2026-09-18,Yes - Photo,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652525,Olivia Ibrahim,olivia.ibrahim@gmail.com,1967747188,2024-09-25,No,Active,45,11282.67,250.73,ORD-202608-548866,2026-08-16,0,0,0,Low
CB,NEED_RESPONSE,382061573970,2026-11-24 00:00:00,2026-10-25 16:33:51,VISA,Credit,10.3,Fraud,Other Fraud - Card Present Environment,159.29,7665434528917652526,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-07-28T06:06:39Z,159.29,NGN,RefundToCredit,0.003,049702661301638933459,439246XXXXXX2460,439246,Credit,Bank Central Asia,US,10.3,2026-10-25,CBK-2026-200137,2026-11-24 00:00:00,No,Cybersource,Chase Paymentech,MID588104897,TXN-20260728-35279002,BRT115629838871,745520,Card - Ecom,159.29,NGN,Settled,2026-07-30,Z - Zip Only,M - Match,N - Not Authenticated,No,213.166.222.105,Android App,Yes,159.29,2026-11-01,ORD-202607-100737,2026-07-28 05:05:53,Leather Sneakers,Footwear,FTW-8431-RED,1,159.29,159.29,NGN,Completed,Delivered,J&T Express,DH9199229215,2026-07-29,2026-07-29,2026-07-30,Yes - OTP Confirmed,N/A,742 Evergreen Terrace,Springfield,IL,62704,US,Yes,7665434528917652526,Sofia Wijaya,sofia.wijaya@outlook.com,1017459837,2024-06-26,Yes,Suspended,24,1659.17,69.13,ORD-202602-550147,2026-02-18,0,0,0,Low
CB,NEED_RESPONSE,382061573971,2026-11-25 00:00:00,2026-10-26 07:58:19,Amex,Credit,F29,Fraud,Card Not Present,326.37,7665434528917652527,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-01T13:35:16Z,326.37,IDR,"RefundToCredit, OriginalRefund",0.0102,642360935549544634722,343583XXXXX2081,343583,Credit,Bank Central Asia,NG,F29,2026-10-26,CBK-2026-200138,2026-11-25 00:00:00,Yes,Cybersource,Chase Paymentech,MID418414795,TXN-20260801-60424012,ADY102606784283,628114,Card - Ecom,326.37,IDR,Captured,2026-08-02,Y - Full Match,M - Match,Y - Authenticated,Yes,243.31.238.4,iOS App,Yes,326.37,2026-10-27,ORD-202608-100738,2026-08-01 13:02:58,Robot Vacuum Cleaner,Home & Kitchen,HNK-2381-BLU,1,326.37,326.37,IDR,Completed,Delivered,Blue Dart,FX7782915188,2026-08-04,2026-08-10,2026-08-10,Yes - Photo,N/A,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652527,Arjun Miller,arjun.miller@gmail.com,62899821840,2026-05-18,No,Under Review,40,6635.48,165.89,ORD-202605-757946,2026-05-19,1,0,2.5,Medium
PRE_ARB,NEED_RESPONSE,881620934827,2026-11-26 00:00:00,2026-10-27 22:05:46,Discover,Debit,UA02,Fraud,Fraud – Card Not Present Transaction,10.53,7665434528917652528,Ahjkoiywebkbmxiykjsdfskjdhfsj,2026-08-16T10:56:33Z,10.53,USD,<UNSET>,0.0007,13467968191846017923037,601127XXXXXX2359,601127,Debit,Klarna Bank AB,NG,UA02,2026-10-27,CBK-2026-200139,2026-11-26 00:00:00,Yes,Adyen,Adyen N.V.,MID915615268,TXN-20260816-08205723,STR418810485015,058285,BNPL,10.53,USD,Captured,2026-08-17,Z - Zip Only,P - Not Processed,A - Attempted,No,91.1.26.26,Mobile Web,Yes,10.53,2026-10-30,ORD-202608-100739,2026-08-16 09:35:15,Mobile Game Coin Pack,Digital Goods,DIG-5637-BLU,3,3.51,10.53,USD,Completed,Digital Delivery - Completed,N/A (Digital),N/A,2026-08-16,2026-08-16,2026-08-16,Email receipt + IP log,N/A,N/A (Digital),N/A (Digital),N/A (Digital),N/A (Digital),US,N/A,7665434528917652528,Amara Miller,amara.miller@outlook.com,1538773135,2024-06-18,Yes,Active,34,1491.93,43.88,ORD-202602-615486,2026-02-24,3,2,8.82,High
PRE_ARB,NEED_RESPONSE,69tos5ncet03j44i,2026-11-27 00:00:00,2026-10-28 09:41:37,Amex,Credit,P03,Processing Error,Credit Processed as Charge,54.86,7665434528917652529,Ahjsgfskjaksldwuleurhjhjdhfsj,2026-08-10T16:36:58Z,43.61,USD,<UNSET>,0.0059,904725009341464349544,377147XXXXX6767,377147,Credit,Bank Mandiri,NG,P03,2026-10-28,CBK-2026-200140,2026-11-27 00:00:00,No,Nuvei,Nuvei Corporation,MID127363233,TXN-20260810-60263491,CKO273774367779,789895,Card - Recurring,54.86,USD,Settled,2026-08-12,N - No Match,N - No Match,N - Not Authenticated,No,240.189.53.203,iOS App,Yes,54.86,2026-10-30,ORD-202608-100740,2026-08-10 15:20:48,Electric Toothbrush,Beauty,BTY-3631-BLK,1,54.86,54.86,USD,Completed,Delivered,Blue Dart,UP6643863366,2026-08-10,2026-08-12,2026-08-12,Yes - Photo,N/A,2200 Post Oak Blvd,Houston,TX,77056,US,Yes,7665434528917652529,Nadia Adeyemi,nadia.adeyemi@yahoo.com,1933481021,2024-09-19,No,Suspended,10,2345.94,234.59,ORD-202512-797576,2025-12-22,0,0,0,Low
